"Timestamp","Укажите ваш пол","Укажите город, в котором находится ваше учебное заведение","Укажите название учебного заведения, в котором вы обучаетесь","Укажите номер вашего класса(последний класс, который вы закончили)","Время в которое у вас начинаются уроки/пары","Выберите ваш первый любимый предмет","Почему вам нравится этот предмет?","Ваш второй любимый предмет","Почему вам нравится этот предмет?","Сколько часов вы обычно тратите в день на домашнее задание?","Сколько времени вы тратите на самообучение(не связанного с домашним заданием)?","Как часто вы списываете домашнее задание?","Отметьте предметы(можно несколько), по которым вы наиболее часто списываете домашнее задание","Как вы оцениваете чистоту вашей школы (по десятибалльной шкале)?","Как вы оцениваете столовую в вашей школе (по десятибалльной шкале)?","Как вы оцениваете прилегающую территорию вашей школы, в том числе и стадион (по десятибалльной шкале)?","Как вы оцениваете спортивный зал и инвентарь в вашей школе(по десятибальной шкале)?","Насколько вы в целом удовлетворены своим учебным заведением?","Как вы оцениваете своё желание учиться в вашем учебном заведении на данный момент (по десятибалльной шкале)?","Сколько в среднем вы спите по будням?","Делаете ли вы утром зарядку?","Сколько времени у вас занимает дорога от дома до школы?","На сколько баллов(от 1 до 10) вы оцениваете своё рабочее состояние в течение дня?","Когда вы делаете домашнее задание?","Можете добавить какую-либо важную, по вашему мнению, информацию о вашем учебном заведении, которая не была упомянута в опросе.","Можете написать предложения по поводу данного опроса.",""
"2018/04/03 8:25:28 PM GMT+3","Женский","","","10","8:30","биология","Оба варианта","физика","Мне интересен сам предмет","1-3 часа","от 3 до 7 в неделю","Время от времени","метематика;география","","","","","Очень удовлетворен/на","Сильное","8:00","Нет","25","Отличное","В течение дня(за день перед уроком)","","","Лицей БГУ "
"2018/04/03 8:27:35 PM GMT+3","Женский","","","10","8:30","белорусская литература","Оба варианта","белорусский язык","Оба варианта","больше 3 часов","до 3 часов в неделю","Время от времени","метематика;физика","","","","","Очень удовлетворен/на","Сильное","8:00","Нет","10","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ "
"2018/04/03 8:27:54 PM GMT+3","Женский","","","11","8:30","русская литература","Мне интересен сам предмет","русский язык","Мне интересен сам предмет","больше 3 часов","от 3 до 7 в неделю","Время от времени","метематика;астрономия","","","","","Нейтрально","Сильное","6:30","Нет","35","Плохое","В течение дня(за день перед уроком)","","","лицей бгу "
"2018/04/03 8:30:50 PM GMT+3","Женский","","","11","8:30","всемирная история","Оба варианта","биология","Оба варианта","больше 3 часов","больше 7 часов в неделю","Время от времени","метематика;физика","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","25","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:30:59 PM GMT+3","Женский","","","11","8:30","физика","Мне интересен сам предмет","астрономия","Оба варианта","до 1 часа","больше 7 часов в неделю","Время от времени","химия;биология;география;иностранный язык;русский язык;русская литература;белорусский язык;белорусская литература;всемирная история;история Беларуси;обществоведение","","","","","Слегка удовлетворен/на","Небольшое","7:00","Нет","60","Терпимое","Комбинированно","","","Лицей бгу "
"2018/04/03 8:31:50 PM GMT+3","Женский","","","10","8:30","математика","Мне интересен сам предмет","иностранный язык","Мне интересен сам предмет","больше 3 часов","больше 7 часов в неделю","Практически постоянно","химия;биология;география;русский язык;белорусский язык;всемирная история;история Беларуси;обществоведение","","","","","Слегка удовлетворен/на","Сильное","4:00","Нет","40","Плохое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:32:44 PM GMT+3","Женский","","","10","8:30","белорусская литература","Оба варианта","информатика","Мне интересен сам предмет","до 1 часа","до 3 часов в неделю","Время от времени","география","","","","","Очень удовлетворен/на","Сильное","6:40","Нет","30","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:32:53 PM GMT+3","Женский","","","10","8:30","биология","Оба варианта","иностранный язык","Мне интересен сам предмет","больше 3 часов","до 3 часов в неделю","Время от времени","химия","","","","","Очень удовлетворен/на","Сильное","6:00","Нет","40","Терпимое","Комбинированно","","","Лицей БГУ "
"2018/04/03 8:32:56 PM GMT+3","Женский","","","10","8:30","русская литература","Его интересно преподают","биология","Мне интересен сам предмет","больше 3 часов","до 3 часов в неделю","Время от времени","химия;иностранный язык","","","","","Немного неудовлетворен/на","Нет желания","5:00","Нет","10","Терпимое","В течение дня(за день перед уроком)","","","Лицей БГУ"
"2018/04/03 8:34:44 PM GMT+3","Женский","","","11","8:30","русская литература","Оба варианта","иностранный язык","Оба варианта","1-3 часа","до 3 часов в неделю","Время от времени","метематика;информатика;белорусский язык","","","","","Очень удовлетворен/на","Сильное","7:00","Нет","45","Отличное","Комбинированно","","","Лицей БГУ"
